V/t,GS Energy
0.0,-12.30908489227295
0.5,-9.688014030456543
1.0,-7.741669654846191
1.5,-6.227088928222656
2.0,-5.203425407409668
2.5,-4.512030601501465
3.0,-4.002764701843262
3.5,-3.607900381088257
4.0,-3.2946531772613525
4.5,-3.0415637493133545
5.0,-2.833373785018921
5.5,-2.6594221591949463
6.0,-2.5120363235473633
6.5,-2.3858118057250977
7.0,-2.276998281478882
7.5,-2.1818578243255615
8.0,-2.098008394241333
8.5,-2.0235648155212402
9.0,-1.9570444822311401
9.5,-1.8972220420837402
10.0,-1.8431313037872314
