N,V/t,E_gs
1,0.0,-4.0002336502075195
1,0.5,-4.000133514404297
1,1.0,-3.999882698059082
1,1.5,-3.9994122982025146
1,2.0,-3.9982340335845947
1,2.5,-3.9942712783813477
1,3.0,-3.9824185371398926
1,3.5,-3.9493422508239746
1,4.0,-3.9527907371520996
1,4.5,-3.9705514907836914
1,5.0,-3.939012289047241
2,0.0,-6.000679016113281
2,0.5,-5.932163238525391
2,1.0,-5.829983234405518
2,1.5,-5.705650329589844
2,2.0,-5.599602222442627
2,2.5,-5.4983954429626465
2,3.0,-5.415005683898926
2,3.5,-5.300039291381836
2,4.0,-5.111360549926758
2,4.5,-4.848727703094482
2,5.0,-4.427255153656006
3,0.0,-8.001216888427734
3,0.5,-7.754663944244385
3,1.0,-7.532624244689941
3,1.5,-7.34601354598999
3,2.0,-7.199057102203369
3,2.5,-7.075080394744873
3,3.0,-6.957091808319092
3,3.5,-6.836825370788574
3,4.0,-6.698974609375
3,4.5,-6.522703647613525
3,5.0,-6.305304050445557
4,0.0,-10.001604080200195
4,0.5,-9.442668914794922
4,1.0,-8.933704376220703
4,1.5,-8.522454261779785
4,2.0,-8.200410842895508
4,2.5,-7.9329729080200195
4,3.0,-7.6808881759643555
4,3.5,-7.414499759674072
4,4.0,-7.097322940826416
4,4.5,-6.704097747802734
4,5.0,-6.1883320808410645
5,0.0,-12.001863479614258
5,0.5,-11.042162895202637
5,1.0,-10.209729194641113
5,1.5,-9.50473690032959
5,2.0,-8.87031364440918
5,2.5,-8.28366470336914
5,3.0,-7.75471830368042
5,3.5,-7.286197662353516
5,4.0,-6.865445613861084
5,4.5,-6.4600749015808105
5,5.0,-6.047706604003906
6,0.0,-12.095110893249512
6,0.5,-10.469188690185547
6,1.0,-9.00726318359375
6,1.5,-7.940972805023193
6,2.0,-7.070510387420654
6,2.5,-6.151507377624512
6,3.0,-5.435089111328125
6,3.5,-4.9949870109558105
6,4.0,-4.596151351928711
6,4.5,-4.176615238189697
6,5.0,-3.738685131072998
7,0.0,-12.201085090637207
7,0.5,-10.05694580078125
7,1.0,-8.265115737915039
7,1.5,-6.9136457443237305
7,2.0,-5.9683518409729
7,2.5,-5.165958404541016
7,3.0,-4.564948558807373
7,3.5,-4.108379364013672
7,4.0,-3.7460899353027344
7,4.5,-3.4419641494750977
7,5.0,-3.180647850036621
8,0.0,-12.300515174865723
8,0.5,-9.55545425415039
8,1.0,-7.491261959075928
8,1.5,-6.207529067993164
8,2.0,-5.26754903793335
8,2.5,-4.53796911239624
8,3.0,-4.003158092498779
8,3.5,-3.6072895526885986
8,4.0,-3.2962474822998047
8,4.5,-3.0374107360839844
8,5.0,-2.8206686973571777
