N,V/t,m2
1,0.0,0.0039062499999999996
1,1.0,0.00390625
1,2.0,0.00390625
1,3.0,0.0039062499999999996
1,4.0,0.003906250000000001
1,5.0,0.00390625
1,6.0,0.00390625
1,7.0,0.00390625
1,8.0,0.00390625
1,9.0,0.00390625
1,10.0,0.00390625
2,0.0,0.007812649644001673
2,1.0,0.007829252129255105
2,2.0,0.007901459407823903
2,3.0,0.007884589472042198
2,4.0,0.007647454564291801
2,5.0,0.007787424349626331
2,6.0,0.00787089260858613
2,7.0,0.007875800895978568
2,8.0,0.0075763968594518135
2,9.0,0.009915303776528451
2,10.0,0.008607003628205635
3,0.0,0.011720648399064656
3,1.0,0.012234976506802187
3,2.0,0.012920382569796832
3,3.0,0.01310166103432539
3,4.0,0.0129112552934406
3,5.0,0.012540599598617027
3,6.0,0.012232491627945569
3,7.0,0.012606294229268239
3,8.0,0.013351065970242403
3,9.0,0.014269036349045722
3,10.0,0.013811816570053084
4,0.0,0.015631418645038447
4,1.0,0.017435413345705763
4,2.0,0.01901310281902379
4,3.0,0.0194311353524843
4,4.0,0.01946361063984399
4,5.0,0.019367185714294306
4,6.0,0.019264014074174638
4,7.0,0.020199669610419007
4,8.0,0.023469652534652184
4,9.0,0.029898211200660624
4,10.0,0.03099611984633088
5,0.0,0.019534724047951653
5,1.0,0.022725797454710487
5,2.0,0.026561529274160486
5,3.0,0.030270741998853715
5,4.0,0.03469945588705928
5,5.0,0.03956909016140349
5,6.0,0.0452534883329235
5,7.0,0.055150201065089256
5,8.0,0.06841539627563009
5,9.0,0.07536705161011527
5,10.0,0.06498588343718156
6,0.0,0.023615972143849088
6,1.0,0.032524678025741785
6,2.0,0.054833731700699107
6,3.0,0.08210601407384513
6,4.0,0.09892808998071659
6,5.0,0.10895115451815213
6,6.0,0.11815150061641849
6,7.0,0.12607768125884442
6,8.0,0.1326767168087361
6,9.0,0.1363477059534748
6,10.0,0.13757082744783578
7,0.0,0.03547285199592209
7,1.0,0.07026318935507776
7,2.0,0.1163187090434061
7,3.0,0.147329035507445
7,4.0,0.16396297620399328
7,5.0,0.1738085680980752
7,6.0,0.17990717647262822
7,7.0,0.18416320290421812
7,8.0,0.18785329110452115
7,9.0,0.1900348002281643
7,10.0,0.19065736102993686
8,0.0,0.05513308822485105
8,1.0,0.11831717739244073
8,2.0,0.18605843366690547
8,3.0,0.2145193392524941
8,4.0,0.22874568405124768
8,5.0,0.23629082897234674
8,6.0,0.24171430577121622
8,7.0,0.24541739118961206
8,8.0,0.2473945141593927
8,9.0,0.24878365899124733
8,10.0,0.24925543641655706
